submission_id,config,run_index,model_name,pipeline_version,overall,novelty,rigor,applicability,clarity,citation,input_tokens,output_tokens,evaluation_id,run_kind
Xhf9YqwlM4,full_mini,1,gpt-5.4-mini,v6,75,83,89,57,72,100,259425,13901,789a44e8-2939-439e-bbd0-8e2cf1e8c57b,adhoc
Xhf9YqwlM4,naive_mini,1,gpt-5.4-mini,naive,78,,,,,,45994,193,,adhoc
Xhf9YqwlM4,full_mini,2,gpt-5.4-mini,v6,77,87,85,61,72,100,330376,13396,c24e557b-1065-4c17-a03c-b642f0fc1664,adhoc
Xhf9YqwlM4,naive_mini,2,gpt-5.4-mini,naive,76,,,,,,45993,247,,adhoc
KkT3f2N4oF,full_mini,0,gpt-5.4-mini,v6,57,54,57,57,63,80,264008,22335,412ec636-f695-459d-8c3f-a5d116405c45,adhoc
KkT3f2N4oF,naive_mini,0,gpt-5.4-mini,naive,42,,,,,,24532,220,,adhoc
KkT3f2N4oF,full_mini,1,gpt-5.4-mini,v6,59,59,55,57,63,84,238749,13070,826f67f0-a5b5-4633-9bdf-4223b8e7b7fc,adhoc
KkT3f2N4oF,naive_mini,1,gpt-5.4-mini,naive,18,,,,,,24525,166,,adhoc
KkT3f2N4oF,full_mini,2,gpt-5.4-mini,v6,64,61,67,61,67,100,155434,11993,b279a2a0-b4a1-4f29-8fbb-52eae9ddbbdb,adhoc
KkT3f2N4oF,naive_mini,2,gpt-5.4-mini,naive,35,,,,,,24529,195,,adhoc
d5qElNtXS5,full_mini,0,gpt-5.4-mini,v6,58,60,56,54,61,84,176663,22492,6ee9ffda-8d12-4721-a563-a6036018913b,adhoc
d5qElNtXS5,naive_mini,0,gpt-5.4-mini,naive,24,,,,,,28592,204,,adhoc
d5qElNtXS5,full_mini,1,gpt-5.4-mini,v6,60,63,59,55,61,72,175917,16525,fba67d25-08bd-417a-ae75-e5a16b75db63,adhoc
d5qElNtXS5,naive_mini,1,gpt-5.4-mini,naive,42,,,,,,28595,275,,adhoc
d5qElNtXS5,full_mini,2,gpt-5.4-mini,v6,59,60,57,56,60,76,175672,14610,99f0826a-8c60-4f76-a0be-4fe48a66bae7,adhoc
d5qElNtXS5,naive_mini,2,gpt-5.4-mini,naive,28,,,,,,28596,177,,adhoc
Vsgq2ldr4K,full_mini,0,gpt-5.4-mini,v6,66,68,64,58,76,100,148873,9526,f39e7822-6843-4df9-ac86-3a741cc67aa7,adhoc
Vsgq2ldr4K,naive_mini,0,gpt-5.4-mini,naive,42,,,,,,23642,187,,adhoc
Vsgq2ldr4K,full_mini,1,gpt-5.4-mini,v6,67,72,68,56,76,88,197752,15754,ab2f27b6-ebba-4ece-b2e7-8859389baf71,adhoc
Vsgq2ldr4K,naive_mini,1,gpt-5.4-mini,naive,42,,,,,,23642,201,,adhoc
Vsgq2ldr4K,full_mini,2,gpt-5.4-mini,v6,64,67,68,58,72,64,202565,15593,5bf31d51-de83-46ca-9281-52b4f53fca39,adhoc
Vsgq2ldr4K,naive_mini,2,gpt-5.4-mini,naive,32,,,,,,23643,249,,adhoc
9C4gVbPqSy,full_mini,0,gpt-5.4-mini,v6,69,60,71,70,81,100,332539,19367,2ac3ca4c-3550-467a-9fd5-9a4a795df702,adhoc
9C4gVbPqSy,naive_mini,0,gpt-5.4-mini,naive,79,,,,,,60242,358,,adhoc
9C4gVbPqSy,full_mini,1,gpt-5.4-mini,v6,74,68,77,74,82,100,418960,15717,c3bf8aa4-a574-467a-835e-70fa4fca64a8,adhoc
9C4gVbPqSy,naive_mini,1,gpt-5.4-mini,naive,78,,,,,,60256,269,,adhoc
9C4gVbPqSy,full_mini,2,gpt-5.4-mini,v6,69,60,77,71,82,72,414910,20522,97ae6b30-d0d4-4cf5-b286-84652f821e8c,adhoc
9C4gVbPqSy,naive_mini,2,gpt-5.4-mini,naive,78,,,,,,60243,275,,adhoc
VKGTGGcwl6,full_mini,0,gpt-5.4-mini,v6,68,63,79,60,82,100,350046,13803,d918cb9e-996f-4ad5-9662-975eb8002f35,adhoc
VKGTGGcwl6,naive_mini,0,gpt-5.4-mini,naive,84,,,,,,50896,202,,adhoc
VKGTGGcwl6,full_mini,1,gpt-5.4-mini,v6,66,62,76,59,84,88,362732,15288,da329b49-f964-433c-a7db-1d73367c4e60,adhoc
VKGTGGcwl6,naive_mini,1,gpt-5.4-mini,naive,78,,,,,,50896,165,,adhoc
VKGTGGcwl6,full_mini,2,gpt-5.4-mini,v6,69,68,76,63,83,76,356431,12023,ae8e713b-9858-47fa-918e-e7a67cda3eb9,adhoc
VKGTGGcwl6,naive_mini,2,gpt-5.4-mini,naive,84,,,,,,50896,217,,adhoc
HcubxPWpw7,full_mini,0,gpt-5.4-mini,v6,71,72,71,67,78,76,330060,16288,bb168126-691d-4fd6-bcbf-8ef60ddfb651,adhoc
HcubxPWpw7,naive_mini,0,gpt-5.4-mini,naive,76,,,,,,45575,192,,adhoc
HcubxPWpw7,full_mini,1,gpt-5.4-mini,v6,71,71,72,66,74,100,260852,17494,6a13489d-c6eb-4cf3-9d3a-aa2d8a5b28b0,adhoc
HcubxPWpw7,naive_mini,1,gpt-5.4-mini,naive,71,,,,,,45570,244,,adhoc
HcubxPWpw7,full_mini,2,gpt-5.4-mini,v6,67,59,72,67,78,84,258690,13733,661e6116-76e6-4cd5-a56f-03afd3d64d50,adhoc
HcubxPWpw7,naive_mini,2,gpt-5.4-mini,naive,80,,,,,,45563,275,,adhoc
lKqE7UuMvp,full_mini,0,gpt-5.4-mini,v6,71,68,76,68,78,88,270581,16911,04e38a08-c9ac-432c-bd6f-d2412e21409e,adhoc
lKqE7UuMvp,naive_mini,0,gpt-5.4-mini,naive,78,,,,,,37217,196,,adhoc
lKqE7UuMvp,full_mini,1,gpt-5.4-mini,v6,73,74,77,69,74,72,269877,18420,7332b2c3-d0d5-43f9-9380-10319a960658,adhoc
lKqE7UuMvp,naive_mini,1,gpt-5.4-mini,naive,74,,,,,,37216,163,,adhoc
lKqE7UuMvp,full_mini,2,gpt-5.4-mini,v6,71,72,74,67,77,72,217554,13516,1e02ac33-309c-4dd7-9fa2-0244d031b07a,adhoc
lKqE7UuMvp,naive_mini,2,gpt-5.4-mini,naive,72,,,,,,37216,204,,adhoc
T5wkZJqzkz,full_mini,0,gpt-5.4-mini,v6,71,61,78,72,81,100,330893,16754,a376e58b-6397-4ea5-8bbd-2b6ca74799e1,adhoc
T5wkZJqzkz,naive_mini,0,gpt-5.4-mini,naive,78,,,,,,45287,210,,adhoc
T5wkZJqzkz,full_mini,1,gpt-5.4-mini,v6,73,68,77,73,81,92,332720,17822,d2928c7d-34de-4078-9f3d-d18ff8b55d3b,adhoc
T5wkZJqzkz,naive_mini,1,gpt-5.4-mini,naive,80,,,,,,45290,227,,adhoc
T5wkZJqzkz,full_mini,2,gpt-5.4-mini,v6,74,71,74,73,78,96,392145,19319,71291bf4-62d4-45e8-b701-f54d51ec01d0,adhoc
T5wkZJqzkz,naive_mini,2,gpt-5.4-mini,naive,74,,,,,,45293,236,,adhoc
v8yooSV1AW,full_mini,0,gpt-5.4-mini,v6,61,63,57,60,54,88,426645,16775,0ee1f74b-fc06-426b-9e05-7e3fe1f2dc9c,adhoc
v8yooSV1AW,naive_mini,0,gpt-5.4-mini,naive,38,,,,,,63549,197,,adhoc
v8yooSV1AW,full_mini,1,gpt-5.4-mini,v6,61,69,57,56,54,72,350079,16638,1f37775b-f10c-4ff2-b485-f599afca5505,adhoc
v8yooSV1AW,naive_mini,1,gpt-5.4-mini,naive,34,,,,,,63549,137,,adhoc
v8yooSV1AW,full_mini,2,gpt-5.4-mini,v6,64,69,66,57,62,72,432676,13264,996ed6fd-b50e-4da4-881e-4eaf0be074d5,adhoc
v8yooSV1AW,naive_mini,2,gpt-5.4-mini,naive,38,,,,,,63554,156,,adhoc
Q3yLIIkt7z,full_mini,0,gpt-5.4-mini,v6,69,78,68,57,73,100,288517,15608,4465590e-89c6-4be5-9333-16eab6f485cc,adhoc
Q3yLIIkt7z,naive_mini,0,gpt-5.4-mini,naive,74,,,,,,51720,309,,adhoc
Q3yLIIkt7z,full_mini,1,gpt-5.4-mini,v6,68,78,67,55,72,84,365751,15898,f13bc03a-bc34-4fed-85e2-e5b5e7cb84c0,adhoc
Q3yLIIkt7z,naive_mini,1,gpt-5.4-mini,naive,78,,,,,,51720,286,,adhoc
Q3yLIIkt7z,full_mini,2,gpt-5.4-mini,v6,64,74,67,48,72,88,363160,17206,aede35b4-8d61-41c7-8260-7031ad665cd3,adhoc
Q3yLIIkt7z,naive_mini,2,gpt-5.4-mini,naive,78,,,,,,51720,208,,adhoc
q8fTgw8e5E,full_mini,0,gpt-5.4-mini,v6,68,73,70,58,72,100,338480,15927,1b0cbf5b-864b-4e41-b2a3-4b6bd9316365,adhoc
q8fTgw8e5E,naive_mini,0,gpt-5.4-mini,naive,72,,,,,,49108,320,,adhoc
q8fTgw8e5E,full_mini,1,gpt-5.4-mini,v6,63,60,71,58,73,84,345251,13438,c1288835-676b-4314-9d61-9d76f66ef0f4,adhoc
q8fTgw8e5E,naive_mini,1,gpt-5.4-mini,naive,68,,,,,,49110,220,,adhoc
q8fTgw8e5E,full_mini,2,gpt-5.4-mini,v6,63,62,66,57,72,100,405742,16374,26134089-6166-4a15-9e03-fec9d5392530,adhoc
q8fTgw8e5E,naive_mini,2,gpt-5.4-mini,naive,67,,,,,,49110,235,,adhoc
NbdEDRRsCI,full_mini,0,gpt-5.4-mini,v6,75,74,77,72,80,80,178003,18109,d709e5e9-faa7-4142-99ed-93a964bd8bde,adhoc
NbdEDRRsCI,naive_mini,0,gpt-5.4-mini,naive,74,,,,,,21324,208,,adhoc
NbdEDRRsCI,full_mini,1,gpt-5.4-mini,v6,71,71,74,69,74,72,231663,15728,10208d45-6d7e-4a82-a6f8-5bf5b740fb9e,adhoc
NbdEDRRsCI,naive_mini,1,gpt-5.4-mini,naive,72,,,,,,21324,184,,adhoc
NbdEDRRsCI,full_mini,2,gpt-5.4-mini,v6,72,71,74,68,77,84,138248,19149,c91cc114-5fc9-4dbe-868a-355e953040a4,adhoc
NbdEDRRsCI,naive_mini,2,gpt-5.4-mini,naive,74,,,,,,21322,211,,adhoc
4oA5xPOTmy,full_mini,0,gpt-5.4-mini,v6,64,63,71,60,67,72,330981,17218,825fa472-8f85-47c2-8a29-5a86f1ef081f,adhoc
4oA5xPOTmy,naive_mini,0,gpt-5.4-mini,naive,68,,,,,,25237,177,,adhoc
4oA5xPOTmy,full_mini,1,gpt-5.4-mini,v6,63,58,71,61,67,84,210894,22552,621d0aa3-1aba-4edf-ae84-e5d746da35f7,adhoc
4oA5xPOTmy,naive_mini,1,gpt-5.4-mini,naive,63,,,,,,25238,258,,adhoc
4oA5xPOTmy,full_mini,2,gpt-5.4-mini,v6,65,58,72,66,68,72,266928,14902,a9a429df-07bf-4e64-8320-09091e60b0c2,adhoc
4oA5xPOTmy,naive_mini,2,gpt-5.4-mini,naive,66,,,,,,25233,250,,adhoc
cMEnMVvMw9,full_mini,0,gpt-5.4-mini,v6,63,58,62,64,66,100,166510,17182,228e329a-7843-47bf-a56a-ddbce1332c31,adhoc
cMEnMVvMw9,naive_mini,0,gpt-5.4-mini,naive,38,,,,,,27049,208,,adhoc
cMEnMVvMw9,full_mini,1,gpt-5.4-mini,v6,64,64,67,58,66,88,226646,16128,7371919f-33b5-45eb-bc4f-86621fa136d1,adhoc
cMEnMVvMw9,naive_mini,1,gpt-5.4-mini,naive,56,,,,,,27051,187,,adhoc
cMEnMVvMw9,full_mini,2,gpt-5.4-mini,v6,65,68,64,59,63,88,210708,12744,5daa0469-54c2-47e0-904f-34e5d3188736,adhoc
cMEnMVvMw9,naive_mini,2,gpt-5.4-mini,naive,43,,,,,,27053,177,,adhoc
B7ceNt7AsQ,full_mini,0,gpt-5.4-mini,v6,57,56,59,54,67,60,318500,17715,8800f981-b993-461c-acea-88a15bdb98f2,adhoc
B7ceNt7AsQ,naive_mini,0,gpt-5.4-mini,naive,38,,,,,,34101,228,,adhoc
B7ceNt7AsQ,full_mini,1,gpt-5.4-mini,v6,58,60,58,53,61,68,263564,19787,734f804c-a1dd-4746-89d2-37ef750499a0,adhoc
B7ceNt7AsQ,naive_mini,1,gpt-5.4-mini,naive,38,,,,,,34099,249,,adhoc
B7ceNt7AsQ,full_mini,2,gpt-5.4-mini,v6,58,58,57,54,61,84,261441,17577,e577e387-228c-4285-9be4-930965de55a0,adhoc
B7ceNt7AsQ,naive_mini,2,gpt-5.4-mini,naive,45,,,,,,34099,230,,adhoc
8NXCwNjFNR,full_mini,0,gpt-5.4-mini,v6,64,61,71,57,77,96,398195,14305,4901c85f-69d9-42fb-a92f-c068aef051d3,adhoc
8NXCwNjFNR,naive_mini,0,gpt-5.4-mini,naive,74,,,,,,45523,227,,adhoc
8NXCwNjFNR,full_mini,1,gpt-5.4-mini,v6,63,61,68,58,73,68,546721,18695,5ea5f948-bfed-422a-b185-ba8fcd61b72c,adhoc
8NXCwNjFNR,naive_mini,1,gpt-5.4-mini,naive,66,,,,,,45523,322,,adhoc
8NXCwNjFNR,full_mini,2,gpt-5.4-mini,v6,61,54,72,58,69,88,405150,20332,28043995-b962-41c8-ac6e-ea7a9d5246ec,adhoc
8NXCwNjFNR,naive_mini,2,gpt-5.4-mini,naive,78,,,,,,45526,228,,adhoc
Q9gz8lVyAi,full_mini,0,gpt-5.4-mini,v6,71,68,67,69,79,100,151030,20526,8c7f5abd-2fc8-4f40-96f3-a6e8035cfe0f,adhoc
Q9gz8lVyAi,naive_mini,0,gpt-5.4-mini,naive,67,,,,,,23653,237,,adhoc
Q9gz8lVyAi,full_mini,1,gpt-5.4-mini,v6,72,68,73,72,79,76,233704,15316,056afbc5-bf32-4b23-a35b-8bfa26d57537,adhoc
Q9gz8lVyAi,naive_mini,1,gpt-5.4-mini,naive,55,,,,,,23653,193,,adhoc
Q9gz8lVyAi,full_mini,2,gpt-5.4-mini,v6,70,68,71,67,77,100,151115,18083,4cc35713-3c66-4802-82a2-da25666feecb,adhoc
Q9gz8lVyAi,naive_mini,2,gpt-5.4-mini,naive,72,,,,,,23653,208,,adhoc
6AhDxoT6rq,full,0,gpt-5.4,v6,77,84,78,70,74,72,510122,17974,d8ae749e-a092-4ec0-bf8e-dee8890ba75b,adhoc
6AhDxoT6rq,full,1,gpt-5.4,v6,77,84,80,68,76,84,696134,17769,3b4dbf61-5671-4dac-b8a1-5bffa1d81ecd,adhoc
6AhDxoT6rq,naive,1,gpt-5.4,naive,52,,,,,,121152,2156,,adhoc
6AhDxoT6rq,full,2,gpt-5.4,v6,77,86,78,69,72,76,797988,19734,34b7596b-cf33-419b-9515-783dc31beee6,adhoc
6AhDxoT6rq,naive,2,gpt-5.4,naive,76,,,,,,60641,2101,,adhoc
